;all2slm1;all2slm1;all2slm1;all2slm1;all2slm1;all2slm1;all2slm1;all2slm1;all2slm1;all2slm1;all2slm1;all2slm1n;all2slm1n;all2slm1n;all2slm1n;all2slm1n;all2slm1n;all2slm1n;all2slm1n;all2slm1n;all2slm1n;all2slm1n;all3slm1;all3slm1;all3slm1;all3slm1;all3slm1;all3slm1;all3slm1;all3slm1;all3slm1;all3slm1;all3slm1;all3slm1n;all3slm1n;all3slm1n;all3slm1n;all3slm1n;all3slm1n;all3slm1n;all3slm1n;all3slm1n;all3slm1n;all3slm1n
Qual a altura da torre Yokohama Marine?;213094030;203223109;222375949;223624964;203051694;215087332;371492766;280231039;205613823;204645578;607841188;395444035;215709921;227079603;1010782152;577572014;228515062;234946533;1616586251;787944420;237355220;238795029;3534355071;1021436464;245965990;255566394;8390913555;1392862681;281013948;278206194;27767463160;3031567263;294028643;297834280;0;18755174288;360256694;333319404;0;40914150193;354626166;394953742;0;0
A nova série Battlestar Galactica tem mais episódios do que a anterior?;95300315;106604262;114552301;118698467;134655872;123217488;307576665;287734872;127881170;137552741;599827151;470043775;130024181;133287018;1037018344;803090321;145452482;153395493;1669725131;940410148;182440249;181026903;3733621772;1927339735;189685023;176529479;8560576207;3321452499;206821916;211774210;37122096468;6344673847;235325510;233838437;0;11195353818;213265191;289575924;0;18762344809;287663978;342023760;0;56834391319
Quem é o jogador mais jovem de dardos?;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Quem desenvolveu o jogo World of Warcraft?;122712233;114118887;132510103;138838304;136524871;134758120;262701209;265860239;127403801;146393712;563629156;571945674;154570076;159565487;1015061650;1015074901;159611868;168862689;1367655534;1195944364;193806940;186469038;3736403699;1981279073;180436635;205644599;7402139034;3818382846;241766250;230553820;33146496715;9803442165;281984872;271814355;0;23955193069;281119502;265863235;0;57258201255;300308859;285467364;0;0
Qual papa fundou a Televisão do Vaticano?;215535022;215675884;234175751;225857374;245949922;227025490;406328330;336936958;215561758;242497479;711248817;663570946;244867359;239806546;1082133659;1050697705;251104820;261473702;1711888432;1562725615;295356154;334941955;3779027287;3353384704;342482440;385791327;7591373943;6459981873;488787165;451875110;45032312135;19963348405;606187688;645991810;0;32922694494;524458200;824238060;0;0;847781700;867394196;0;0
Quem compôs a música para Harold e Maude?;251602935;281566619;273727809;258983531;249992380;288178898;424975602;409881248;266802966;263200312;723802823;695090842;272610713;282979810;1244905706;1165417004;272652394;276384581;1733065985;1689793391;326436776;339381567;3983386806;3644795215;346007412;353961941;8490556274;6969298342;366448187;335763814;33412855798;16006091031;368223759;383871788;0;31069506504;375954581;417224666;0;42027104128;460986221;538834870;0;0
Liste todos os membros da Prodigy;188118082;231961991;240673565;211184012;210452137;228279989;352642244;314247873;266111436;208932093;632596819;493356850;209427447;185981302;1090765076;785360865;214568760;206032014;1627448318;1024547970;207234367;220667573;4535409297;1484113988;237228159;233423985;7912034898;2047934133;241679633;262279954;31525792801;4079010759;300285380;276383297;0;13634107596;318869253;277197643;0;24464552905;299485256;402873528;0;0
Quem atua nos filmes espanhois produzidos por Benicio del Toro?;410771967;460128666;418317347;371714326;489173738;418593419;635982397;491953927;463378593;475233124;881079082;656512648;467726670;396356143;1262456972;950467960;489708179;449699254;1781278388;1025631057;560688661;520075057;4220381777;2488395411;577845077;496807935;9305506664;6522262963;516965774;568022738;34460102759;14602772724;646615510;639191583;0;31805145036;661786603;753085190;0;44044974054;1159440929;1201665017;0;0
Qual subsidiária da TUI Travel vôa para Glasgow e Dublin?;149341981;164901555;167405825;175725864;186590271;181652112;331939287;287971002;195874804;179114088;661435171;483606811;190578617;218491919;1083494036;912900818;207050388;196493161;1595876724;1259774804;232742606;249275186;4376408772;2721671226;276151030;269499028;8617186481;5083070246;358729457;374676215;36325239475;19895765696;435268096;415513741;0;46761190735;462884922;481815847;0;0;611243813;609902309;0;0
Em qual país está localizada Meca?;273055276;285648927;277191953;326896714;310769181;299463263;442204997;388243957;303469313;336683975;809696685;520871290;352674156;345506470;1241234904;1023125750;353524903;361596808;1792381477;1158665845;382978439;414471028;3782596922;2875116225;531629342;452896611;8379416795;6414984767;643498678;629958163;36520938460;27719577347;687909811;677853940;0;56237788205;656958604;679933167;0;0;765762028;746904657;0;0
Quantos idiomas são falados na Colômbia?;311437350;294287587;318954527;348197537;320823617;308347396;480274947;409892184;347750190;365227200;772917414;512837302;305495263;338138612;1173485873;708274002;328108650;350749631;1699836205;957482006;328337051;351314180;4212907197;1187919335;409181580;359008252;8498501787;1562562482;426830128;457823702;31171388059;2856810562;515161065;525117841;0;18257396551;603299737;570777946;0;87178805977;629604594;636162295;0;0
Qual o maior estádio da Espanha?;271244844;314924569;285815203;324084697;307505032;288548211;435452406;424295987;286386000;290041840;802182549;543963549;321202217;323697613;1300312529;814059035;341896917;327194007;1917498833;1100805154;398811393;365817270;4287582802;1433986121;490865714;456245741;9043650177;2316297029;527191605;608961933;35578563816;10219613222;739232562;868575580;0;37680992818;1049202155;1064031187;0;0;1168867866;1046149189;0;0
Que surfistas profissionais nasceram nas Filipinas?;192665421;218953595;210188174;219714413;209934695;215184378;385748931;370240155;202957372;212210097;680848538;616213889;229550989;216973938;1246040429;843403464;256880245;254584777;1836884417;1260634653;319401621;286981197;3806753058;3151633999;389762433;404527584;7866234370;6128874163;550881910;519238002;34934586303;27564577124;662144667;677302040;0;43677288988;831976517;829912903;0;0;1050119686;1037576472;0;0
Quais são os cinco condados de New York?;321994184;281996225;321610698;323241453;315126356;314999747;468656301;376796114;275393321;314783432;786974212;528863330;323732442;302834217;1208578798;801821921;313136183;328228225;1968435529;1062011547;336601083;351397183;4728758869;1857617240;380536411;370539927;9327077587;4615653609;475100687;519038918;38567440736;19454343723;615234302;608534335;0;77027331966;727961424;766795849;0;0;1039280036;1074659535;0;0
Cola é uma bebida?;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Quando a princesa Diana morreu?;85057627;82528136;103201678;117125965;107349569;105708707;299237449;306232773;105570205;107853119;566158131;457318480;110131027;113695533;1185868185;681745995;119897888;126422982;1562149511;985926196;116652065;134491224;4375359589;1413290503;135474389;125639721;8548348312;2031524397;170293112;169743437;34961040818;4360301407;185574500;189549390;0;6163816946;159056212;200814130;0;6247846239;189555430;208700633;0;6401617459
Onde é produzido o vinho espumante na França?;190223771;204185923;235817712;226856190;181954652;220169138;346028487;374014880;226407915;224953098;695272799;677209928;230965897;226471741;1039874306;1031276920;233986400;265068026;1562306729;1232977117;316575803;304053953;3577242013;3047981941;385767526;380993997;7368821154;4590165579;434075664;446477110;29589042147;19148078647;478239886;487437081;0;54281775694;504809387;514461456;0;0;528966892;539887994;0;0
